Time (ms),Value
0,89.98
11,89.98
22,89.84
32,89.5
44,88.94
55,87.89
65,86.71
76,85.53
88,84.83
98,84.55
109,83.37
120,81.91
131,80.38
142,78.08
153,75.72
164,73.21
175,70.5
186,67.99
197,65.69
207,63.26
219,60.96
230,58.81
241,56.51
251,54.14
263,51.92
274,49.76
284,47.53
295,45.3
307,43.15
318,41.06
328,39.11
339,37.16
351,35.35
361,33.68
372,32.15
384,30.55
395,28.95
405,27.35
416,25.68
428,24.01
438,22.27
449,20.39
460,18.51
471,16.7
482,14.82
493,12.87
504,11
515,9.05
526,7.31
537,5.71
547,4.18
559,2.78
570,1.67
580,0.7
591,-0.07
602,-0.49
613,-0.63
624,-0.56
634,-0.28
646,0
656,0.35
667,0.56
678,0.63
689,0.28
700,-0.21
711,-0.84
721,-0.9
733,-0.42
744,0
754,0.28
765,0.28
776,0.14
787,0
797,-0.14
808,-0.14
820,-0.14
830,-0.14
841,-0.14
852,-0.14
863,-0.14
874,-0.14
884,-0.14
896,-0.14
907,-0.07
917,-0.07
928,-0.07
940,-0.07
950,-0.07
961,-0.07
971,-0.07
983,-0.07
994,-0.07
1004,-0.07
1015,-0.07
1027,-0.07
1037,-0.07
1048,-0.07
1058,-0.07
1070,-0.07
1081,-0.07
1091,-0.07
1102,-0.07
1114,0
1124,0
1135,0
1145,0
1156,0
1167,0
1177,0
1188,0
1199,0
1210,0
1220,0
1231,0
1242,0
1253,0
1263,0
1274,0
1285,0
1296,0
1306,0
1317,0
