Time (ms),Value
3330,89.91
3341,89.91
3352,89.91
3363,89.91
3374,89.91
3385,89.91
3395,89.91
3407,89.91
3417,89.91
3428,89.91
3440,89.91
3450,89.91
3461,89.91
3472,89.91
3483,89.91
3494,89.91
3505,89.91
3515,89.91
3527,89.91
3537,89.91
3548,89.91
3559,89.91
3570,89.91
3581,89.91
3592,89.91
3602,89.91
3614,89.91
3624,89.91
3635,89.91
3646,89.91
3657,89.91
3668,89.91
3679,89.91
3689,89.91
3701,89.91
3711,89.91
3722,89.91
3733,89.91
3744,89.91
3755,89.91
3766,89.91
3776,89.91
3788,89.91
3798,89.91
3809,89.91
3820,89.91
3831,89.98
3842,89.98
3852,89.91
3863,89.91
3875,89.91
3885,89.98
3896,89.98
3906,89.91
3918,89.91
3929,89.91
3939,89.91
3950,89.91
3962,89.98
3972,89.98
3983,89.98
3993,89.98
4005,89.98
4015,89.98
4026,89.98
4036,89.98
4048,89.98
4059,89.98
4069,89.98
4081,89.98
4091,89.98
4102,89.98
4112,89.98
4124,89.98
4134,89.98
4145,89.98
4155,89.98
4167,89.98
4178,89.98
4188,89.98
4199,89.98
4210,89.98
4221,89.98
4231,89.98
4242,89.98
4253,89.98
4264,89.98
4274,89.98
4285,89.98
4297,89.98
4307,89.98
4318,89.98
4328,89.98
4340,89.98
4350,89.98
4361,89.98
4371,89.98
4383,89.98
4393,89.98
4404,89.98
4415,89.98
4426,89.98
4437,89.98
4447,89.98
4458,89.98
4469,89.98
4480,89.98
4490,89.98
4501,89.98
4513,89.98
4523,89.98
4534,89.98
4544,89.98
4556,89.98
4566,89.98
4577,89.98
4587,89.98
4599,89.98
4609,89.98
4620,89.98
4631,89.98
4642,89.98
4653,89.98
4663,89.98
4674,89.98
4685,89.98
4696,89.98
4706,89.98
4717,89.98
4728,89.98
4739,89.98
4750,89.98
4760,89.98
4772,89.98
4782,89.98
4793,89.98
4803,89.98
4815,89.98
4825,89.98
4836,89.98
4846,89.98
4858,89.98
4869,89.98
4879,89.98
4891,89.98
4901,89.98
4912,89.98
4922,89.98
4934,89.98
4944,89.98
4955,89.98
4966,89.98
4977,89.98
4988,89.98
4998,89.98
5009,89.98
5020,89.98
5031,89.98
5041,89.98
5052,89.98
5063,89.98
5074,89.98
5085,89.98
5095,89.98
5107,89.98
5117,89.98
5128,89.98
5138,89.98
5150,89.98
5160,89.98
5171,89.98
5181,89.98
5193,89.98
5204,89.98
5214,89.98
5225,89.98
5236,89.98
5247,89.98
5257,89.98
5268,89.98
5279,89.98
5290,89.98
5301,89.98
5311,89.98
5323,89.98
5333,89.98
5344,89.98
5354,89.98
5366,89.98
5376,89.98
5387,89.98
5397,89.98
5409,89.98
5420,89.98
5430,89.98
5441,89.98
5452,89.98
5463,89.98
5473,89.98
5484,89.98
5495,89.98
5506,89.98
5516,89.98
5527,89.98
5539,89.98
5549,89.98
5560,89.98
5570,89.98
5582,89.98
5592,89.98
5603,89.98
5613,89.98
5625,89.98
5635,89.98
5646,89.98
5657,89.98
5668,89.98
5679,89.98
5689,89.98
5700,89.98
5711,89.98
5722,89.98
5732,89.98
5744,89.98
5755,89.98
5765,89.98
5776,89.98
5787,89.98
5798,89.98
5808,89.98
5819,89.98
5830,89.98
5841,89.98
5851,89.98
5862,89.98
5874,89.98
5884,89.98
5895,89.98
5905,89.98
5917,89.98
5927,89.98
5938,89.98
5948,89.98
5960,89.98
5970,89.98
5981,89.98
5992,89.98
6003,89.98
6014,89.98
6024,89.98
6035,89.98
6046,89.98
6057,89.98
6067,89.98
6078,89.98
6089,89.98
6100,89.98
6111,89.98
6121,89.98
6133,89.98
6143,89.98
6154,89.98
6164,89.98
6176,89.98
6186,89.98
6197,89.98
6208,89.98
6219,89.98
6230,89.98
6240,89.98
6251,89.98
