Time (ms),Value
0,0
11,0.07
21,0.21
33,0.56
43,1.04
54,2.09
65,3.13
76,4.25
87,5.01
97,5.29
108,6.12
120,7.59
130,8.77
141,10.86
151,12.94
163,15.1
174,17.68
184,20.04
195,22.48
207,25.05
217,27.49
228,29.99
240,32.57
250,34.94
261,37.44
272,39.74
283,41.96
294,44.19
305,46.28
315,48.23
327,50.04
338,51.85
348,53.45
359,55.05
371,56.65
381,58.18
392,59.64
403,61.24
414,62.7
425,64.3
436,65.97
446,67.78
458,69.73
469,71.82
479,73.91
490,76.13
502,78.36
512,80.45
523,82.4
534,84.21
545,85.81
556,87.27
567,88.45
577,89.43
589,90.12
599,90.61
610,90.82
621,90.82
632,90.68
643,90.47
654,90.33
664,90.26
676,90.26
687,90.19
697,90.05
708,89.91
719,89.77
730,89.63
741,89.57
752,89.63
763,89.77
774,90.05
784,90.12
796,90.12
806,90.12
817,90.19
828,90.19
839,90.26
850,90.33
861,90.33
871,90.33
883,90.33
894,90.33
904,90.33
915,90.33
926,90.33
937,90.33
948,90.33
958,90.33
970,90.33
981,90.33
991,90.33
1002,90.33
1013,90.33
1024,90.33
1035,90.33
1045,90.33
1057,90.26
1068,90.26
1078,90.26
1089,90.26
1100,90.26
1111,90.19
1122,90.19
1132,90.19
1144,90.19
1155,90.19
1165,90.12
1176,90.12
1188,90.12
1198,90.05
1209,90.05
1219,90.05
1231,90.05
1242,90.05
1252,90.05
1264,90.05
1275,89.98
1285,89.98
1296,89.98
1307,89.91
1318,89.91
1328,89.91
1339,89.91
1351,89.91
1361,89.91
1372,89.91
1383,89.91
1394,89.91
1405,89.91
1416,89.91
1426,89.91
1438,89.91
1448,89.91
1459,89.91
1470,89.91
1481,89.91
1492,89.91
1503,89.91
1513,89.91
1525,89.91
1535,89.91
1546,89.91
1557,89.91
1568,89.91
1579,89.91
1590,89.91
1600,89.91
1612,89.91
1622,89.91
1633,89.91
1644,89.91
1655,89.91
1666,89.91
1677,89.91
1687,89.91
1699,89.91
1709,89.91
1720,89.91
1731,89.91
1742,89.91
1753,89.91
1764,89.91
1774,89.91
1786,89.91
1797,89.91
1807,89.91
1819,89.91
1829,89.91
1840,89.91
1851,89.91
1862,89.91
1873,89.91
1884,89.91
1894,89.91
1906,89.91
1916,89.91
1927,89.91
1938,89.91
1949,89.91
1960,89.91
1971,89.91
1981,89.91
1993,89.91
2003,89.98
2014,89.98
2025,89.98
2036,89.91
2047,89.91
2057,89.91
2068,89.91
2080,89.91
2090,89.91
2101,89.91
2112,89.91
2123,89.91
2134,89.91
2144,89.91
2155,89.91
2167,89.91
2177,89.91
2188,89.91
2199,89.91
2210,89.91
2221,89.91
2231,89.91
2242,89.91
2254,89.91
2264,89.91
2275,89.91
2286,89.91
2297,89.91
2308,89.91
2318,89.91
2329,89.91
2341,89.91
2351,89.91
2362,89.91
2374,89.91
2384,89.91
2395,89.91
2405,89.91
2417,89.91
2428,89.91
2438,89.91
2449,89.91
2461,89.91
2471,89.91
2482,89.91
2492,89.91
2504,89.91
2515,89.91
2525,89.91
2536,89.91
2548,89.91
2558,89.91
2569,89.91
2580,89.91
2591,89.91
2602,89.91
2612,89.91
2623,89.91
2635,89.91
2645,89.91
2656,89.91
2667,89.91
2678,89.91
2689,89.91
2699,89.91
2710,89.91
2722,89.91
2732,89.91
2743,89.91
2754,89.91
2765,89.91
2776,89.91
2786,89.91
2797,89.91
2809,89.91
2819,89.91
2830,89.91
2841,89.91
2852,89.91
2863,89.98
2873,89.98
2884,89.91
2896,89.91
2906,89.98
2917,89.98
2928,89.98
2939,89.91
2949,89.91
2960,89.91
2972,89.91
2982,89.91
2993,89.91
3004,89.91
3015,89.91
3026,89.91
3037,89.91
3047,89.91
3059,89.91
3069,89.91
3080,89.91
3091,89.91
3102,89.91
3113,89.91
3124,89.91
3134,89.91
3146,89.91
3156,89.91
3167,89.91
3178,89.91
3189,89.91
3200,89.91
3211,89.91
3221,89.91
3233,89.91
3243,89.91
3254,89.91
3265,89.91
3276,89.91
3287,89.91
3298,89.91
3308,89.91
3320,89.91
